tickers,sector
SKYW,Industrials
SLCA,Energy
SLG,Real Estate
SLP,Health Care
SLVM,Materials
SM,Energy
SMP,Consumer Discretionary
SMPL,Consumer Staples
SMTC,Information Technology
SNCY,Industrials
SNEX,Financials
SONO,Consumer Discretionary
SPNT,Financials
SPSC,Information Technology
SPTN,Consumer Staples
SPWR,Industrials
SPXC,Industrials
SSP,Consumer Discretionary
SSTK,Communication Services
STAA,Health Care
STBA,Financials
STC,Financials
STEL,Financials
STRA,Consumer Discretionary
SUPN,Health Care
SVC,Real Estate
SXC,Materials
SXI,Industrials
SXT,Materials
TALO,Energy
TBBK,Financials
TBI,Industrials
TDS,Communication Services
TFIN,Financials
TGI,Industrials
THRM,Consumer Discretionary
THRY,Communication Services
THS,Consumer Staples
TILE,Industrials
TMP,Financials
TMST,Materials
TNC,Industrials
TNDM,Health Care
TPH,Consumer Discretionary
TR,Consumer Staples
TRIP,Communication Services
TRMK,Financials
TRN,Industrials
TRST,Financials
TRUP,Financials
TTEC,Industrials
TTGT,Communication Services
TTMI,Information Technology
TWI,Materials
TWO,Financials
UCBI,Financials
UCTT,Information Technology
UE,Real Estate
UFCS,Financials
UFPT,Health Care
UHT,Real Estate
UNF,Industrials
UNFI,Consumer Staples
UNIT,Real Estate
UPBD,Consumer Discretionary
URBN,Consumer Discretionary
USNA,Consumer Staples
USPH,Health Care
UTL,Utilities
UVV,Consumer Staples
VBTX,Financials
VCEL,Health Care
VECO,Information Technology
VGR,Consumer Staples
VIAV,Information Technology
VICR,Industrials
VIR,Health Care
VRE,Real Estate
VREX,Health Care
VRRM,Industrials
VRTS,Financials
VSAT,Information Technology
VSCO,Consumer Discretionary
VSTO,Consumer Discretionary
VSTS,Industrials
VTOL,Energy
VTLE,Energy
VVI,Industrials
VYX,Information Technology
WABC,Financials
WAFD,Financials
WD,Financials
WDFC,Consumer Staples
WGO,Consumer Discretionary
WIRE,Industrials
WKC,Energy
WLY,Communication Services
WNC,Industrials
WOR,Consumer Discretionary
WRLD,Financials
WS,Materials
WSFS,Financials
WSR,Real Estate
WT,Financials
WWW,Consumer Discretionary
XHR,Real Estate
XNCR,Health Care
XPEL,Consumer Discretionary
XPER,Information Technology
XRX,Information Technology
YELP,Communication Services
ZEUS,Materials
